transaction_id,transaction_date,department,vendor_name,vendor_id,amount,payment_mode,purpose,location,budget_head
TXN200000,2024-09-13,Education,Metro Infra,V007,58988,CHEQUE,Medicine Procurement,Pune,3601
TXN200001,2024-04-30,Urban Development,EduTech Solutions,V004,1609420,RTGS,Medicine Procurement,Mumbai,2210
TXN200002,2025-01-08,Transport,ABC Pharma,V001,72453,NEFT,Electricity Infrastructure,Chennai,2210
TXN200003,2025-01-21,Urban Development,Metro Infra,V007,1163642,NEFT,Water Pipeline Upgrade,Mumbai,3054
TXN200004,2024-11-01,Education,XYZ Medical,V002,186868,CHEQUE,Infrastructure Maintenance,Delhi,3601
TXN200005,2025-01-18,Rural Development,EduTech Solutions,V004,183587,CHEQUE,Medicine Procurement,Chennai,2210
TXN200006,2024-07-15,Transport,Metro Infra,V007,162054,CHEQUE,Road Repair Work,Pune,3054
TXN200007,2024-08-06,Education,EduTech Solutions,V004,1329668,CHEQUE,Road Repair Work,Pune,3451
TXN200008,2024-08-26,Urban Development,XYZ Medical,V002,1576867,NEFT,Emergency Purchase,Pune,2202
TXN200009,2024-12-07,Transport,ABC Pharma,V001,60347,CHEQUE,Water Pipeline Upgrade,Pune,3054
TXN200010,2024-09-27,Urban Development,RuralTech Services,V008,159591,NEFT,Emergency Purchase,Delhi,3054
TXN200011,2024-11-29,Rural Development,XYZ Medical,V002,1349293,CHEQUE,Water Pipeline Upgrade,Bengaluru,3054
TXN200012,2024-10-15,Rural Development,AquaWorks,V006,1668245,RTGS,Infrastructure Maintenance,Chennai,2210
TXN200013,2024-12-09,Health,EduTech Solutions,V004,73905,CHEQUE,Infrastructure Maintenance,Bengaluru,3451
TXN200014,2024-12-11,Health,BuildRight Constructions,V003,184032,RTGS,Infrastructure Maintenance,Bengaluru,3601
TXN200015,2024-08-21,Rural Development,Metro Infra,V007,218971,RTGS,Infrastructure Maintenance,Mumbai,2210
TXN200016,2024-06-30,Education,EduTech Solutions,V004,43162,RTGS,Emergency Purchase,Chennai,2202
TXN200017,2024-08-13,Public Works,ABC Pharma,V001,180139,RTGS,Water Pipeline Upgrade,Chennai,3054
TXN200018,2024-06-04,Rural Development,ABC Pharma,V001,268322,CHEQUE,Emergency Purchase,Chennai,3451
TXN200019,2024-10-21,Transport,Metro Infra,V007,1539789,NEFT,Infrastructure Maintenance,Delhi,2202
TXN200020,2024-11-12,Education,XYZ Medical,V002,53782,NEFT,Medicine Procurement,Chennai,2202
TXN200021,2024-12-31,Health,AquaWorks,V006,58432,NEFT,Water Pipeline Upgrade,Bengaluru,2202
TXN200022,2024-08-08,Public Works,AquaWorks,V006,70239,RTGS,Road Repair Work,Bengaluru,3451
TXN200023,2024-09-07,Health,BuildRight Constructions,V003,1418559,CHEQUE,Digital Education Program,Bengaluru,2202
TXN200024,2024-12-21,Health,EduTech Solutions,V004,178479,RTGS,Infrastructure Maintenance,Chennai,2210
TXN200025,2024-12-27,Public Works,XYZ Medical,V002,108449,CHEQUE,Digital Education Program,Mumbai,3054
TXN200026,2024-07-24,Urban Development,AquaWorks,V006,200754,NEFT,Emergency Purchase,Mumbai,3451
TXN200027,2024-07-26,Education,RuralTech Services,V008,47596,NEFT,Emergency Purchase,Pune,3451
TXN200028,2024-08-11,Education,AquaWorks,V006,229563,RTGS,Digital Education Program,Delhi,2202
TXN200029,2024-05-23,Education,RuralTech Services,V008,93575,RTGS,Water Pipeline Upgrade,Chennai,2210
TXN200030,2024-12-02,Rural Development,AquaWorks,V006,62224,CHEQUE,Medicine Procurement,Bengaluru,2202
TXN200031,2024-12-01,Education,Metro Infra,V007,127167,NEFT,Emergency Purchase,Bengaluru,3451
TXN200032,2024-10-23,Rural Development,XYZ Medical,V002,84565,NEFT,Medicine Procurement,Mumbai,3601
TXN200033,2024-11-25,Rural Development,BuildRight Constructions,V003,196203,RTGS,Electricity Infrastructure,Pune,2202
TXN200034,2025-01-06,Urban Development,BuildRight Constructions,V003,915528,CHEQUE,Electricity Infrastructure,Mumbai,3451
TXN200035,2024-07-09,Education,ABC Pharma,V001,116799,CHEQUE,Infrastructure Maintenance,Chennai,3054
TXN200036,2024-08-11,Urban Development,Metro Infra,V007,55965,CHEQUE,Digital Education Program,Bengaluru,3601
TXN200037,2024-12-21,Transport,BuildRight Constructions,V003,177234,CHEQUE,Medicine Procurement,Bengaluru,2202
TXN200038,2024-04-03,Education,BuildRight Constructions,V003,202293,CHEQUE,Medicine Procurement,Chennai,2210
TXN200039,2024-09-14,Rural Development,RuralTech Services,V008,67815,CHEQUE,Medicine Procurement,Mumbai,2202
TXN200040,2024-08-20,Health,XYZ Medical,V002,187253,NEFT,Emergency Purchase,Delhi,3451
TXN200041,2024-09-14,Urban Development,EduTech Solutions,V004,158579,CHEQUE,Water Pipeline Upgrade,Bengaluru,3601
TXN200042,2024-08-05,Rural Development,GreenPower Ltd,V005,274030,NEFT,Emergency Purchase,Bengaluru,2202
TXN200043,2024-10-31,Health,Metro Infra,V007,59017,CHEQUE,Infrastructure Maintenance,Bengaluru,2210
TXN200044,2024-07-18,Rural Development,GreenPower Ltd,V005,275150,NEFT,Electricity Infrastructure,Pune,2202
TXN200045,2024-08-08,Education,RuralTech Services,V008,64674,RTGS,Road Repair Work,Mumbai,2202
TXN200046,2024-06-22,Rural Development,Metro Infra,V007,145856,RTGS,Road Repair Work,Mumbai,3054
TXN200047,2024-09-11,Health,AquaWorks,V006,1661902,RTGS,Electricity Infrastructure,Delhi,3451
TXN200048,2024-09-17,Urban Development,GreenPower Ltd,V005,56853,NEFT,Emergency Purchase,Mumbai,2210
TXN200049,2024-05-14,Public Works,GreenPower Ltd,V005,1080740,RTGS,Emergency Purchase,Mumbai,3451
TXN200050,2024-08-11,Transport,BuildRight Constructions,V003,174947,CHEQUE,Road Repair Work,Pune,2210
TXN200051,2024-08-21,Health,BuildRight Constructions,V003,58982,RTGS,Medicine Procurement,Delhi,3054
TXN200052,2024-05-13,Urban Development,EduTech Solutions,V004,955176,RTGS,Medicine Procurement,Pune,3601
TXN200053,2024-10-31,Public Works,BuildRight Constructions,V003,1200036,NEFT,Infrastructure Maintenance,Pune,2210
TXN200054,2024-07-02,Education,GreenPower Ltd,V005,179220,NEFT,Digital Education Program,Bengaluru,3601
TXN200055,2024-07-01,Public Works,AquaWorks,V006,105653,NEFT,Medicine Procurement,Delhi,3601
TXN200056,2025-01-08,Education,RuralTech Services,V008,157192,NEFT,Electricity Infrastructure,Bengaluru,3451
TXN200057,2025-01-05,Transport,GreenPower Ltd,V005,100179,RTGS,Infrastructure Maintenance,Mumbai,3451
TXN200058,2024-09-25,Health,BuildRight Constructions,V003,1236019,RTGS,Infrastructure Maintenance,Delhi,2210
TXN200059,2024-10-13,Urban Development,GreenPower Ltd,V005,221583,RTGS,Medicine Procurement,Bengaluru,2202
TXN200060,2024-06-20,Public Works,RuralTech Services,V008,1463659,RTGS,Water Pipeline Upgrade,Pune,2202
TXN200061,2024-04-18,Public Works,EduTech Solutions,V004,40280,RTGS,Road Repair Work,Delhi,3451
TXN200062,2024-08-21,Urban Development,EduTech Solutions,V004,243486,NEFT,Medicine Procurement,Pune,2210
TXN200063,2024-06-13,Transport,ABC Pharma,V001,118550,RTGS,Electricity Infrastructure,Mumbai,2210
TXN200064,2025-01-25,Urban Development,BuildRight Constructions,V003,227693,CHEQUE,Road Repair Work,Pune,3451
TXN200065,2024-06-16,Public Works,BuildRight Constructions,V003,1775799,CHEQUE,Road Repair Work,Chennai,2202
